RejectedValue,Reason,OccurrenceCount,RawExample,Source,SongIDExample,TitleExample,ArtistExample
english,known_non_genre,12695,english,ARTIST_FEATURES,2,Lovin On Me,Jack Harlow
american,known_non_genre,8858,american,ARTIST_FEATURES,40,Rich Baby Daddy,"Drake, Sexyy Red, SZA"
singer-songwriter,known_non_genre,8152,singer-songwriter,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
2010s,year_tag,7726,2010s,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
british,known_non_genre,6572,british,ARTIST_FEATURES,34,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H"
2020s,year_tag,5539,2020s,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
singer,known_non_genre,4109,singer,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
2000s,year_tag,3947,2000s,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
relic inn,editorial_or_comment_tag,3779,relic inn,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
composer,known_non_genre,3475,composer,ARTIST_FEATURES,34,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H"
stop using this for artist credits you are to lazy to look-up,too_many_words,3402,stop using this for artist credits you are to lazy to look-up,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
fixme,editorial_or_comment_tag,3145,fixme,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
songwriter,known_non_genre,2918,songwriter,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
soundtrack,known_non_genre,2455,soundtrack,ARTIST_FEATURES,357,Un Finde | CROSSOVER #2,Big One
various artists,known_non_genre,2273,[various artists],ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
rapper,attribute_not_genre,2082,rapper,ARTIST_FEATURES,30,Surround Sound,JID
spanish,known_non_genre,1939,spanish,ARTIST_FEATURES,15,PERRO NEGRO,Bad Bunny
special purpose artist,known_non_genre,1869,special purpose artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
meta artist,known_non_genre,1802,meta artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
unknown,known_non_genre,1682,unknown,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
fix tags,editorial_or_comment_tag,1681,fix tags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
1990s,year_tag,1673,1990s,ARTIST_FEATURES,113,All I Want for Christmas Is You,Mariah Carey
live,known_non_genre,1659,live,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
espanol,known_non_genre,1461,espanol,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
1980s,year_tag,1317,1980s,ARTIST_FEATURES,114,Take on Me,a-ha
christmas music,known_non_genre,1288,christmas music,ARTIST_FEATURES,113,All I Want for Christmas Is You,Mariah Carey
cover,known_non_genre,1269,cover,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
popular,known_non_genre,1173,popular,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
tag spam,editorial_or_comment_tag,1160,tag spam,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
artist,known_non_genre,1151,artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
label as artist,known_non_genre,1140,label as artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
fix me,editorial_or_comment_tag,1136,fix me,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
to the guy that keeps downvoting *every* tag on the va artist,too_many_words,1136,to the guy that keeps downvoting *every* tag on the va artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
va-we were first-180 hits in their original versions (2014,too_many_words,1136,va-we were first-180 hits in their original versions (2014),ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
5099265803,numeric_value,1135,5099265803,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
bring up on-par with the other spas and put this in brackets,too_many_words,1135,bring up on-par with the other spas and put this in brackets,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
compilation,known_non_genre,1135,compilation,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
do not using this for artist credits,editorial_or_comment_tag,1135,do not using this for artist credits,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
dont tag or rate the various artist,editorial_or_comment_tag,1135,dont tag or rate the various artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
every-time you and others downvote. it registers in your tags. then i remove my vote. presto! youre the only one keeping it here!,too_long,1135,every-time you and others downvote. it registers in your tags. then i remove my vote. presto! youre the only one keeping it here!,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
f to the i to the x to the m to the e,too_many_words,1135,f to the i to the x to the m to the e,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
i give up on the immature people in the tags here.,too_many_words,1135,i give up on the immature people in the tags here.,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
kindly fix,editorial_or_comment_tag,1135,kindly fix,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
kindly fixme,editorial_or_comment_tag,1135,kindly fixme,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
oldest artist rowid,editorial_or_comment_tag,1135,oldest artist rowid,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
please consider not using this for artist credits,too_many_words,1135,please consider not using this for artist credits,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
please rename to [various artists,editorial_or_comment_tag,1135,please rename to [various artists],ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
make. srsly,editorial_or_comment_tag,1135,make. srsly,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
tagmess,editorial_or_comment_tag,1135,tagmess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
tagsmess,editorial_or_comment_tag,1135,tagsmess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
ultimate love songs greatest love of all disc 1,too_many_words,1135,ultimate love songs greatest love of all disc 1,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
various artist,known_non_genre,1135,various artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
you do realise that every time you downvote a fixme-tag below 0 i unvote it and that tag now permanently stays in the expanded list?,too_long,1135,you do realise that every time you downvote a fixme-tag below 0 i unvote it and that tag now permanently stays in the expanded list?,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
1 16 217528 150 13231 25894 39556 62358 75112 86121 96491 108473 122788 134485 144086 155376 166189 186497 197822,numeric_value,1134,1 16 217528 150 13231 25894 39556 62358 75112 86121 96491 108473 122788 134485 144086 155376 166189 186497 197822,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
2014,numeric_value,1134,2014,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
2017,numeric_value,1134,2017,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house,too_long,1134,alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
apparently people are unable to comprehend what various artists is,too_many_words,1134,apparently people are unable to comprehend what various artists is,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
don t tag the va artist (yes i am aware of this irony,too_many_words,1134,don t tag the va artist (yes i am aware of this irony),ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
don t use this for artist credits you are to lazy to look-up,too_many_words,1134,don t use this for artist credits you are to lazy to look-up,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
dont rate the va artist,editorial_or_comment_tag,1134,dont rate the va artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
dont rate the va artist ffs what,editorial_or_comment_tag,1134,dont rate the va artist ffs what,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
dont tag the va artist,editorial_or_comment_tag,1134,dont tag the va artist,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
dont tag the va artist wtf,editorial_or_comment_tag,1134,dont tag the va artist wtf,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
dont use this for artist credits you are to lazy to look-up,too_many_words,1134,dont use this for artist credits you are to lazy to look-up,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
faaaaaail,editorial_or_comment_tag,1134,faaaaaail,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
fail tags,editorial_or_comment_tag,1134,fail tags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
failtags,editorial_or_comment_tag,1134,failtags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
fix mess,editorial_or_comment_tag,1134,fix mess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
fix your tags,editorial_or_comment_tag,1134,fix your tags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
full of fail tags,editorial_or_comment_tag,1134,full of fail tags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
greatest ever! punk & new wave: the definitive collection,too_many_words,1134,greatest ever! punk & new wave: the definitive collection,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html,too_long,1134,http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
www.musik-sammler.de,url_or_domain,1134,www.musik-sammler.de,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
734500,numeric_value,1134,734500,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
734011.jpg,file_reference,1134,734011.jpg,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
loosers that downvote fixmetags are ...,editorial_or_comment_tag,1134,loosers that downvote fixmetags are ...,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
megafixme,editorial_or_comment_tag,1134,megafixme,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
mess mess,editorial_or_comment_tag,1134,mess mess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
mess mess mess,editorial_or_comment_tag,1134,mess mess mess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
messy tags,editorial_or_comment_tag,1134,messy tags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
musica,known_non_genre,1134,musica,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
no matter how long you keep voting down the fixme tag i will fight you. this should be fixed,too_long,1134,no matter how long you keep voting down the fixme tag i will fight you. this should be fixed,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
no this is still a mess,editorial_or_comment_tag,1134,no this is still a mess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
ost,known_non_genre,1134,ost,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
please fix,editorial_or_comment_tag,1134,please fix,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
release,known_non_genre,1134,release,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
rename into [various artists,editorial_or_comment_tag,1134,rename into [various artists],ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
still a mess,editorial_or_comment_tag,1134,still a mess,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
stop using this for artist credits period!,editorial_or_comment_tag,1134,stop using this for artist credits period!,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
make. ffs!,editorial_or_comment_tag,1134,make. ffs!,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
we ll never stop living this way a ghostly primer,too_many_words,1134,we ll never stop living this way a ghostly primer,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
why are you downvoting the mess tag? it is a mess!,too_many_words,1134,why are you downvoting the mess tag? it is a mess!,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
why are you voting down tags that explain stuff,too_many_words,1134,why are you voting down tags that explain stuff,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
you *should* fix your tags,editorial_or_comment_tag,1134,you *should* fix your tags,ARTIST_FEATURES,129,Rich Men North Of Richmond,Oliver Anthony Music
female vocals,known_non_genre,1119,female vocals,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
englisch,known_non_genre,1113,englisch,ARTIST_FEATURES,7,What Was I Made For?,Billie Eilish
producer,known_non_genre,1111,producer,ARTIST_FEATURES,195,Those Eyes,New West
fixme label mess,editorial_or_comment_tag,1076,fixme label mess,ARTIST_FEATURES,1,Cruel Summer,Taylor Swift
1970s,year_tag,1057,1970s,ARTIST_FEATURES,236,Dancing Queen,ABBA
